CustomerID,Lookalikes
C0001,"[('C0048', 0.99), ('C0181', 0.97), ('C0190', 0.97)]"
C0002,"[('C0060', 0.95), ('C0014', 0.92), ('C0186', 0.89)]"
C0003,"[('C0026', 0.95), ('C0190', 0.94), ('C0160', 0.94)]"
C0004,"[('C0046', 0.96), ('C0165', 0.96), ('C0057', 0.96)]"
C0005,"[('C0186', 0.99), ('C0092', 0.96), ('C0159', 0.95)]"
C0006,"[('C0117', 0.99), ('C0168', 0.98), ('C0171', 0.97)]"
C0007,"[('C0092', 0.99), ('C0080', 0.98), ('C0140', 0.97)]"
C0008,"[('C0113', 0.9), ('C0084', 0.89), ('C0124', 0.89)]"
C0009,"[('C0198', 0.96), ('C0058', 0.96), ('C0103', 0.95)]"
C0010,"[('C0151', 0.95), ('C0111', 0.93), ('C0062', 0.88)]"
C0011,"[('C0137', 0.96), ('C0174', 0.95), ('C0126', 0.95)]"
C0012,"[('C0104', 0.98), ('C0113', 0.98), ('C0195', 0.98)]"
C0013,"[('C0099', 0.99), ('C0188', 0.97), ('C0102', 0.96)]"
C0014,"[('C0060', 0.98), ('C0186', 0.95), ('C0128', 0.95)]"
C0015,"[('C0150', 0.97), ('C0131', 0.97), ('C0071', 0.92)]"
C0016,"[('C0183', 0.95), ('C0048', 0.93), ('C0107', 0.92)]"
C0017,"[('C0109', 0.97), ('C0156', 0.97), ('C0075', 0.95)]"
C0018,"[('C0169', 0.91), ('C0082', 0.9), ('C0171', 0.9)]"
C0019,"[('C0116', 0.9), ('C0047', 0.9), ('C0121', 0.88)]"
C0020,"[('C0050', 0.9), ('C0095', 0.9), ('C0197', 0.89)]"
